,tm
0,48.4
1,48.4
2,49.0
3,55.6
4,48.4
5,48.4
6,55.6
7,49.0
8,49.0
9,48.4
10,55.6
11,49.0
12,48.4
13,48.4
14,48.4
15,48.4
16,55.6
17,49.0
18,55.6
19,48.4
20,48.4
21,48.4
22,64.9
23,64.9
24,39.0
25,44.5
26,52.2
27,41.4
28,58.8
29,43.9
30,51.2
31,41.2
32,38.6
33,40.1
34,62.8
35,53.7
36,58.6
37,46.1
38,49.9
39,49.4
40,75.3
41,52.9
42,48.7
43,48.1
44,49.0
45,67.1
46,54.6
47,38.9
48,66.2
49,35.8
50,45.8
51,45.1
52,41.0
53,45.4
54,46.2
55,39.8
56,60.8
57,47.3
58,82.3
59,50.4
60,91.6
61,40.9
62,48.7
63,46.6
64,55.7
65,57.1
66,51.0
67,66.8
68,61.4
69,55.0
70,51.7
71,49.2
72,51.0
73,42.2
74,49.0
75,85.9
76,40.6
77,52.8
78,38.7
79,41.4
80,51.2
81,47.3
82,51.9
83,65.2
84,42.9
85,47.8
86,48.6
87,40.6
88,50.8
89,52.8
90,61.9
91,54.7
92,50.3
93,41.9
94,51.4
95,36.1
96,41.1
97,54.7
98,51.9
99,51.0
100,49.4
101,44.7
102,43.6
103,65.2
104,44.6
105,63.1
106,44.1
107,56.5
108,49.2
109,36.1
110,47.5
111,54.6
112,57.4
113,52.7
114,44.9
115,38.4
116,45.3
117,57.6
118,50.7
119,66.6
120,47.2
121,60.3
122,87.3
123,40.0
124,45.7
125,54.4
126,54.2
127,41.6
128,45.5
129,47.8
130,52.3
131,43.0
132,43.7
133,45.4
134,54.7
135,54.8
136,51.4
137,47.0
138,46.4
139,49.3
140,49.7
141,41.1
142,39.5
143,50.4
144,45.7
145,44.5
146,36.5
147,75.8
148,48.3
149,51.1
150,56.4
151,58.0
152,37.4
153,53.6
154,43.1
155,47.0
156,58.4
157,56.7
158,50.5
159,39.4
160,45.7
161,43.5
162,33.0
163,47.5
164,42.5
165,41.3
166,50.3
167,40.5
168,44.4
169,42.5
170,47.9
171,43.9
172,83.0
173,50.6
174,52.3
175,51.9
176,38.6
178,55.4
179,42.6
180,42.0
181,44.8
182,84.0
183,46.4
184,49.4
185,48.0
186,53.9
187,50.2
